SFTAZ,COUNTY,DISTRICT,MTCTAZ,HHLDS,POP,POPD,EMPRES,EMPRESD,CIE,MED,MIPS,PDR,RETAIL,VISITOR,TOTALEMP,EMPD,NETCON,CROSSING,SAFETY,VITALITY,TOPOLOGY,AREATYPE,SUPERDST,MTCEMP,MTCPOP,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,AVGINCQ1,AVGINCQ2,AVGINCQ3,AVGINCQ4,AVGHHINC,SHPOP62P,TOTACRE,RETEMP,SEREMP,OTHEMP,AGREMP,MFGEMP,TRDEMP,SERVICE,PKDISTNO,PKDIST,FREEPARK,SUBPARK,PAIDPARK,PPAYING,PRKAVIND,ONSTREET,OFSTREET,PRKCSTWH,PRKCSTOH,TOTPARK,COLLENROLL,HIGHENROLL,GRADENROLL,SFDU,MFDU,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,HHPOP,GQPOP,DIST15,DIST22,DIST40,DIST51,STATE,CNTY_ID,CNTY_NAM,PUMA,POWPUMA,PLACE_ID,PLACE_NAM,DIST_PLC_1,DIST_PLC_2,DIST_PLC_N,DIST22NAME,DIST40NAME,DISTPLC2_S
1,1,8,156,317,1353,63.31305569,546,25.54983622,8,2,28,17,8,6,69,3.228825456,2,2,1,1,2,3,3,75,2882,65,133,57,61,0,0,0,0,0,0.14,21.37,0,0,0,0,0,0,16,24,26,0.333,0.167,0.5,1,1.889,0.866,0.134,0,0,406,0,0,0,272,45,126,291,441,338,157,1348,5,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
2,1,8,164,315,1246,29.73747017,588,14.03341289,7,5,10,9,29,0,60,1.431980907,2,1,2,2,1,3,3,476,7654,67,82,93,73,0,0,0,0,0,0.2,41.9,0,0,0,0,0,0,12,21,25,0.75,0,0.25,1,2.25,1,0,0,0,419,0,0,0,256,59,86,204,385,366,205,1241,5,10,14,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
3,1,8,157,447,1506,48.20742638,397,12.70806658,9,0,29,27,25,0,90,2.880921895,1,2,1,1,1,3,3,132,3254,317,68,36,26,0,0,0,0,0,0.11,31.24,0,0,0,0,0,0,9,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,22,0,0,0,154,293,238,433,436,268,131,1502,4,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
4,1,8,164,389,1542,42.08515284,728,19.86899563,7,4,13,25,13,1,63,1.719432314,2,1,2,2,1,3,3,476,7654,83,101,115,90,0,0,0,0,0,0.2,36.64,0,0,0,0,0,0,12,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,431,0,0,0,316,73,107,252,477,452,254,1535,7,10,14,5,34,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
5,1,8,156,383,1637,67.00777732,661,27.05689726,15,1,20,12,5,0,53,2.169463774,2,2,1,1,2,3,3,75,2882,79,161,69,74,0,0,0,0,0,0.14,24.43,0,0,0,0,0,0,16,24,26,0.333,0.167,0.5,1,1.889,0.866,0.134,0,0,465,0,0,0,329,54,152,352,533,409,190,1631,6,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
6,1,8,154,538,2088,40.78125,967,18.88671875,70,38,42,124,41,7,322,6.2890625,2,2,1,1,2,3,3,116,6104,181,127,182,48,0,0,0,0,0,0.19,51.2,0,0,0,0,0,0,115,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,416,0,0,2088,345,193,144,359,631,627,327,2076,12,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
7,1,8,157,309,1039,56.86918446,274,14.99726327,29,18,0,6,0,0,53,2.900930487,1,2,1,1,1,3,3,132,3254,219,47,25,18,0,0,0,0,0,0.11,18.27,0,0,0,0,0,0,47,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,13,0,0,0,106,203,164,299,301,185,90,1036,3,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
8,1,8,159,337,1163,33.16224693,490,13.97205589,54,2,10,16,15,0,97,2.765896778,2,1,2,2,2,3,3,192,5047,82,91,91,73,0,0,0,0,0,0.21,35.07,0,0,0,0,0,0,56,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,426,0,0,1163,265,72,90,185,346,337,205,1161,2,10,14,5,37,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
9,1,8,164,371,1470,49,694,23.13333333,56,24,38,27,65,5,215,7.166666667,2,1,2,2,1,3,3,476,7654,79,96,109,86,0,0,0,0,0,0.2,30,0,0,0,0,0,0,85,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,352,0,0,0,302,69,102,240,455,431,242,1464,6,10,14,5,34,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
10,1,8,167,402,1516,37.15686275,628,15.39215686,18,14,12,31,18,2,95,2.328431373,2,2,1,2,1,3,3,347,6749,114,96,130,61,0,0,0,0,0,0.18,40.8,0,0,0,0,0,0,34,21,24,0.75,0,0.25,1,2.25,1,0,0,0,570,1516,0,0,356,46,115,284,472,422,223,1486,30,10,6,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,5,1
11,1,8,162,298,1146,54.4935806,466,22.15882073,8,4,49,15,5,0,81,3.851640514,2,1,2,2,2,3,3,444,4924,87,87,64,60,0,0,0,0,0,0.2,21.03,0,0,0,0,0,0,12,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,574,0,0,0,247,51,81,185,345,342,193,1143,3,10,14,5,37,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
12,1,8,157,470,1580,81.4853017,418,21.55750387,28,0,32,0,7,0,67,3.455389376,1,2,1,1,1,3,3,132,3254,333,71,38,27,0,0,0,0,0,0.11,19.39,0,0,0,0,0,0,28,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,14,0,0,0,162,308,250,454,457,282,137,1577,3,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
